0006,a
0007,a
0008,a
0012,a
0015,a
0018,a
0023,b
0026,a
0028,a
0030,a
0035,a
0037,a
0048,a
0053,a
0054,a
0055,a
0056,a
0058,a
0062,a
0063,b
0067,a
0075,a
0078,b
0081,a
0082,a
0090,a
0094,a
0096,a
0103,a
0109,a
0112,a
0119,a
0120,a
0122,a
0125,a
0129,a
0135,a
0139,b
0140,a
0141,a
0143,a
0146,a
0147,a
0150,a
0152,a
0158,b
0159,a
0160,a
0161,a
0163,a
0166,a
0169,a
0178,a
0182,a
0191,a
0195,a
0200,b
0203,a
0210,a
0221,a
0224,b
0228,a
0231,b
0232,a
0233,a
0234,a
0239,a
0246,a
0251,a
0253,a
0255,a
0257,a
0258,a
0262,a
0263,a
0268,a
0274,b
0276,a
0280,b
0283,a
0293,b
0295,a
0302,a
0303,a
0309,b
0317,a
0319,a
0321,a
0322,a
0325,a
0327,b
0331,a
0332,a
0335,a
0336,a
0337,a
0342,a
0346,a
0349,a
0350,a
0352,a
0355,a
0357,a
0365,a
0376,a
0381,a
0382,a
0394,a
0397,a
0402,a
0410,a
0416,a
0417,b
0425,a
0427,a
0431,a
0437,b
0438,a
0440,b
0442,b
0443,a
0453,a
0454,a
0459,a
0468,b
0469,a
0470,a
0472,a
0474,a
0481,a
0483,a
0499,a
0503,a
0509,a
0510,a
0512,a
0516,a
0519,a
0525,a
0527,a
0528,a
0533,b
0536,a
0537,a
0541,a
0543,a
0545,a
0550,a
0551,a
0553,b
0554,a
0557,a
0558,a
0559,a
0560,a
0563,a
0566,a
0577,a
0580,a
0582,a
0586,a
0587,a
0593,a
0597,a
0607,a
0609,a
0613,a
0617,a
0618,a
0620,a
0626,a
0627,a
0628,a
0629,a
0635,a
0646,a
0648,a
0649,a
0652,a
0654,a
0655,a
0665,a
0667,a
0671,b
0674,a
0678,b
0683,a
0684,a
0686,a
0693,a
0694,a
0695,a
0699,a
0701,a
0705,a
0706,a
0708,a
0712,a
0713,a
0716,a
0717,a
0722,a
0725,a
0727,a
0730,a
0731,a
0733,a
0737,a
0740,a
0741,a
0746,a
0747,a
0749,a
0753,a
0756,b
0759,b
0762,a
0768,a
0770,a
0771,a
0772,a
0774,a
0775,b
0778,a
0785,a
0786,a
0788,a
0789,a
0790,b
0796,a
0799,a
0800,a
0801,a
0803,a
0808,a
0809,a
0812,a
0813,a
0816,a
0817,a
0818,a
0824,a
0826,a
0830,a
0834,a
0838,b
0844,a
0846,b
0852,a
0853,a
0858,a
0867,b
0870,b
0878,a
0887,a
0894,a
0900,a
0902,a
0915,b
0916,a
0918,a
0919,a
0920,a
0921,a
0926,a
0927,a
0930,a
0935,a
0937,a
0945,a
0951,a
0953,a
0954,a
0958,a
0959,a
0966,b
0968,a
0975,b
0976,a
0983,a
0989,a
1001,a
1004,a
1011,b
1017,a
1019,a
1023,a
1036,a
1044,b
1047,a
1048,a
1051,a
1055,b
1063,a
1072,a
1078,a
1083,a
1086,b
1109,a
1111,a
1112,a
1113,a
1127,b
1136,a
1137,a
1138,a
1142,a
1146,a
1149,a
1150,b
1153,a
1157,b
1163,a
1165,b
1167,a
1174,a
1175,a
1177,a
1178,a
1179,a
1180,a
1181,b
1188,a
1189,a
1190,a
1200,a
1207,a
1209,a
1212,a
1215,a
1219,a
1223,a
1227,a
1232,a
1239,a
1244,a
1248,a
1251,a
1256,a
1257,a
1262,a
1267,a
1268,a
1270,a
1271,a
1288,a
1292,a
1295,a
1299,a
1301,a
1306,a
1322,a
1323,a
1332,b
1334,a
1335,a
1337,a
1341,a
1343,a
1344,a
1350,a
1356,a
1357,a
1359,a
1361,a
1365,b
1368,a
1372,a
1378,a
1384,a
1385,b
1386,a
1387,a
1394,a
1397,a
1403,a
1406,a
1419,a
1442,a
1443,a
1455,a
1457,a
1460,a
1461,a
1467,a
1469,a
1472,a
1475,a
1478,a
1480,a
1487,b
1491,a
1495,a
1497,a
1498,a
1508,a
1509,a
1511,a
1512,a
1513,a
1515,a
1520,a
1524,a
1527,a
1528,a
1530,a
1531,a
1533,a
1535,a
1537,a
1554,a
1555,a
1556,b
1558,b
1563,a
1566,a
1574,a
1575,a
1577,a
1586,a
1591,a
1596,a
1600,b
1602,a
1603,a
1613,a
1615,a
1622,b
1623,a
1631,a
1633,b
1636,a
1639,a
1641,a
1643,a
1647,a
1650,a
1652,a
1658,a
1659,a
1661,a
1664,a
1666,a
1668,b
1670,b
1672,a
1674,a
1685,a
1689,a
1692,b
1695,a
1697,a
1699,a
1700,a
1704,a
1706,a
1707,a
1711,a
1716,a
1718,a
1721,a
1730,a
1738,a
1742,a
1745,a
1748,a
1752,a
1753,a
1756,a
1759,a
1762,a
1763,b
1770,b
1776,a
1781,a
1786,a
1787,a
1791,a
1792,a
1793,a
1794,a
1799,a
1801,a
1803,a
1805,a
1807,a
1808,a
1812,b
1813,a
1814,b
1817,a
1819,a
1822,a
1826,a
1830,b
1831,a
1833,a
1836,a
1838,a
1843,b
1847,b
1848,a
1852,a
1855,a
1856,a
1859,a
1867,a
1872,a
1875,b
1878,a
1881,a
1885,a
1895,b
1896,a
1899,a
1900,a
1911,a
1948,a
1949,a
1954,a
1960,a
1962,a
1964,a
1965,a
1967,a
1973,a
1974,a
1975,a
1977,a
1978,a
1979,a
1986,b
1991,a
1995,a
1996,a
1999,a
2004,a
2007,a
2009,a
2011,a
2017,a
2018,a
2021,a
2022,a
2027,a
2030,a
2032,a
2034,a
2036,a
2038,a
2039,a
2049,a
2052,a
2054,a
2059,a
2063,a
2068,a
2070,a
2071,a
2075,b
2080,a
2081,a
2085,b
2088,a
2089,a
2090,a
2098,a
2101,a
2102,b
2104,a
2105,a
2115,a
2116,a
2122,a
2123,a
2131,a
2133,b
2135,a
2140,a
2142,a
2143,a
2150,b
2153,a
2158,a
2161,a
2162,a
2165,a
2166,a
2173,b
2180,a
2181,a
2182,a
2189,a
2191,a
2195,a
2200,a
2210,a
2214,a
2216,a
2217,a
2219,a
2221,a
2223,b
2224,a
2226,a
2228,a
2233,a
2234,a
2238,a
2239,a
2240,a
2243,a
2246,a
2254,a
2255,b
2259,b
2265,a
2268,a
2269,a
2273,a
2278,a
2283,a
2285,a
2292,a
2293,a
2295,b
2299,b
2300,a
2304,a
2306,a
2315,a
2320,a
2323,a
2328,b
2331,a
2336,a
2338,b
2341,a
2345,a
2346,b
2348,a
2351,a
2353,a
2358,a
2364,a
2369,a
2370,a
2371,a
2374,a
2379,a
2382,a
2384,a
2385,a
2389,a
2390,a
2391,a
2392,a
2394,a
2396,a
2407,b
2408,a
2410,a
2422,a
2437,a
2441,b
2442,a
2446,a
2447,a
2454,a
2455,a
2457,a
2460,a
2463,a
2465,a
2466,a
2467,a
2468,a
2475,a
2476,a
2479,a
2489,a
2492,b
2497,a
2498,a
2500,a
2505,a
2506,a
2512,a
2516,a
2518,a
2520,b
2521,a
2530,b
2532,a
2537,a
2538,a
2540,a
2545,a
2548,a
2550,a
2553,a
2559,b
2562,b
2565,b
2566,a
2567,b
2569,b
2571,a
2572,a
2574,a
2580,a
2587,a
2593,a
2603,a
2609,a
2615,a
2617,b
2624,a
2626,b
2627,a
2628,a
2633,a
2634,a
2641,a
2646,a
2648,a
2649,a
2662,a
2671,a
2681,a
2686,a
2690,a
2692,a
2696,a
2702,a
2708,a
2710,a
2715,a
2716,a
2728,a
2733,a
2739,a
2740,b
2745,a
2750,a
2751,b
2753,a
2757,b
2759,a
2765,b
2769,a
2776,a
2786,b
2787,a
2788,a
2791,b
2797,a
2798,b
2804,a
2805,b
2806,a
2808,a
2811,a
2813,b
2816,a
2817,a
2827,a
2830,a
2831,a
2834,a
2836,a
2843,a
2845,a
2852,a
2854,a
2866,a
2867,a
2875,a
2876,a
2880,a
2884,a
2886,a
2888,a
2889,a
2890,a
2892,a
2894,a
2897,a
2899,a
2900,a
2903,a
2905,a
2906,a
2907,a
2911,a
2913,a
2914,a
2919,a
2927,a
2931,b
2936,a
2941,a
2943,a
2947,a
2949,a
2955,a
2959,a
2968,b
2971,a
2976,a
2978,a
2981,a
2982,a
2987,a
2990,a
2994,a
2998,a
